location,artist,title,genre,quantity_on_hand,days_in_stock
Dania Beach,Herbie Hancock,The Early Years,Jazz,8,92
Oakland Park,Miles Davis,Anthology,Jazz,8,90
Oakland Park,Curtis Mayfield,Motion,Soul/Funk,11,83
Lake Worth,John Coltrane,John Grooves,Jazz,13,75
Lake Worth,Curtis Mayfield,Standards,Soul/Funk,6,75
Lake Worth,Pink Floyd,Pink Basement Tapes,Rock,7,74
Lake Worth,Four Tet,Reflections,Electronic,7,74
Oakland Park,Thelonious Monk,Thelonious Echoes,Jazz,7,74
Oakland Park,Daft Punk,Vol. II,Electronic,25,73
Dania Beach,Selena,Selected Works,Latin,10,72
Dania Beach,Al Green,Interstellar,Soul/Funk,6,72
Lake Worth,Herbie Hancock,Nights,Jazz,16,71
Oakland Park,Tom Petty,Tom Anthology,Rock,11,71
Dania Beach,Grant Green,Grant Grooves,Jazz,21,70
Lake Worth,Alice Coltrane,Motion,Jazz,15,70
Oakland Park,The Rolling Stones,Blueprint,Rock,16,70
Oakland Park,Iron Maiden,Interstellar,Metal,14,70
Oakland Park,Led Zeppelin,Unplugged,Rock,6,70
Oakland Park,Herbie Hancock,Herbie Blueprint,Jazz,7,70
Dania Beach,Iron Maiden,Interstellar,Metal,11,69
Dania Beach,Celia Cruz,The Early Years,Latin,28,69
Lake Worth,Tom Petty,Tom Horizons,Rock,9,69
Oakland Park,Thelonious Monk,Nights,Jazz,9,69
Dania Beach,Black Sabbath,Frequencies,Metal,20,68
Lake Worth,J Dilla,J Anthology,Hip-Hop,29,68
Oakland Park,Celia Cruz,Live at the Regal,Latin,11,68
Lake Worth,Celia Cruz,Coastline,Latin,6,67
Lake Worth,Herbie Hancock,Vol. II,Jazz,7,67
Oakland Park,Pink Floyd,Anthology,Rock,6,67
Dania Beach,Nas,Interstellar,Hip-Hop,27,66
Lake Worth,Aphex Twin,Blueprint,Electronic,14,66
Oakland Park,Marvin Gaye,Horizons,Soul/Funk,71,66
Lake Worth,Celia Cruz,Live at the Regal,Latin,6,65
Lake Worth,Herbie Hancock,Reflections,Jazz,6,65
Oakland Park,Herbie Hancock,Reflections,Jazz,7,65
Dania Beach,Claude Debussy,Anthology,Classical,6,64
Oakland Park,Grant Green,Sessions,Jazz,6,64
Dania Beach,Pantera,Afterhours,Metal,12,63
Lake Worth,Nas,Selected Works,Hip-Hop,6,63
Oakland Park,Willie Colon,Sessions,Latin,7,63
Dania Beach,Selena,Selena Coastline,Latin,8,62
Dania Beach,Claude Debussy,Echoes,Classical,7,62
Oakland Park,Alice Coltrane,Nights,Jazz,62,61
Oakland Park,Floating Points,Anthology,Electronic,16,61
Oakland Park,Alice Coltrane,The Early Years,Jazz,20,61
Oakland Park,Burial,Anthology,Electronic,7,61
Dania Beach,Miles Davis,Grooves,Jazz,6,60
Lake Worth,Nas,Unplugged,Hip-Hop,6,60
