location,artist,title,genre,sold_last_60d_all_stores
Dania Beach,Radiohead,Afterhours,Alternative,2
Dania Beach,Radiohead,Echoes,Alternative,2
Dania Beach,Slayer,Coastline,Metal,2
Dania Beach,Radiohead,The Early Years,Alternative,2
Lake Worth,Grant Green,Basement Tapes,Jazz,2
Lake Worth,The Cure,Nights,Alternative,2
Lake Worth,Claude Debussy,Claude Vol. II,Classical,2
Lake Worth,Wu-Tang Clan,Unplugged,Hip-Hop,2
Lake Worth,Led Zeppelin,Selected Works,Rock,2
Lake Worth,Claude Debussy,Afterhours,Classical,2
Lake Worth,Four Tet,Four Grooves,Electronic,2
Lake Worth,Led Zeppelin,Echoes,Rock,2
Oakland Park,Pixies,Rarities,Alternative,2
Oakland Park,Roy Ayers,Unplugged,Soul/Funk,2
Oakland Park,Philip Glass,Afterhours,Classical,2
Oakland Park,Pantera,Sessions,Metal,2
Oakland Park,MF DOOM,MF Live at the Regal,Hip-Hop,2
Oakland Park,Sister Nancy,Sister Nights,Reggae,2
Oakland Park,Claude Debussy,Claude Vol. II,Classical,2
Oakland Park,Wu-Tang Clan,Live at the Regal,Hip-Hop,2
Oakland Park,My Bloody Valentine,Frequencies,Alternative,2
Oakland Park,MF DOOM,Basement Tapes,Hip-Hop,2
Oakland Park,Led Zeppelin,Echoes,Rock,2
Dania Beach,Alice Coltrane,Reflections,Jazz,1
Dania Beach,Led Zeppelin,Vol. II,Rock,1
Dania Beach,Boards of Canada,Boards Interstellar,Electronic,1
Dania Beach,Nas,Basement Tapes,Hip-Hop,1
Dania Beach,Boards of Canada,Coastline,Electronic,1
Dania Beach,Marvin Gaye,The Early Years,Soul/Funk,1
Dania Beach,Selena,Grooves,Latin,1
Dania Beach,Gregory Isaacs,Horizons,Reggae,1
Dania Beach,Herbie Hancock,Live at the Regal,Jazz,1
Dania Beach,Pixies,Reflections,Alternative,1
Dania Beach,Led Zeppelin,Blueprint,Rock,1
Dania Beach,Black Sabbath,Sessions,Metal,1
Dania Beach,Tom Petty,Unplugged,Rock,1
Dania Beach,Juan Luis Guerra,Sessions,Latin,1
Dania Beach,Sly & The Family Stone,Sessions,Soul/Funk,1
Lake Worth,Tom Petty,Reflections,Rock,1
Lake Worth,Slayer,Rarities,Metal,1
Lake Worth,Nas,Basement Tapes,Hip-Hop,1
Lake Worth,Willie Colon,Echoes,Latin,1
Lake Worth,Aphex Twin,Anthology,Electronic,1
Lake Worth,Gregory Isaacs,Horizons,Reggae,1
Lake Worth,Four Tet,Blueprint,Electronic,1
Lake Worth,The Cure,Motion,Alternative,1
Lake Worth,Led Zeppelin,Blueprint,Rock,1
Lake Worth,Black Sabbath,Sessions,Metal,1
Lake Worth,Tom Petty,Echoes,Rock,1
Lake Worth,J Dilla,Vol. II,Hip-Hop,1
Lake Worth,Sly & The Family Stone,Sessions,Soul/Funk,1
Oakland Park,Tom Petty,Reflections,Rock,1
Oakland Park,Slayer,Rarities,Metal,1
Oakland Park,Nas,Basement Tapes,Hip-Hop,1
Oakland Park,Marvin Gaye,The Early Years,Soul/Funk,1
Oakland Park,Tom Petty,Nights,Rock,1
Oakland Park,Al Green,Standards,Soul/Funk,1
Oakland Park,OutKast,Grooves,Hip-Hop,1
Oakland Park,Philip Glass,Nights,Classical,1
Oakland Park,Pixies,Reflections,Alternative,1
Oakland Park,The Cure,Motion,Alternative,1
Oakland Park,Augustus Pablo,Motion,Reggae,1
Oakland Park,Tom Petty,Unplugged,Rock,1
Oakland Park,Tom Petty,Echoes,Rock,1
Oakland Park,Juan Luis Guerra,Sessions,Latin,1
Oakland Park,Slayer,Rarities,Metal,1
Oakland Park,J Dilla,Vol. II,Hip-Hop,1
Oakland Park,Sly & The Family Stone,Sessions,Soul/Funk,1
Oakland Park,Fleetwood Mac,Coastline,Rock,1
