sale_id,sale_date,location,product_id,quantity,unit_price,discount,net_amount
S004542,2025-12-18,Dania Beach,P0157,1,8.43,0.0,8.43
S004914,2025-12-26,Dania Beach,P0164,1,14.99,0.0,14.99
S000028,2025-07-02,Oakland Park,P0195,2,23.58,0.0,47.16
S000879,2025-08-05,Dania Beach,P0258,1,20.03,0.0,20.03
S008071,2026-04-25,Oakland Park,P0122,1,15.39,0.0,15.39
S004437,2025-12-15,Oakland Park,P0034,1,17.39,0.0,17.39
S008128,2026-04-26,Dania Beach,P0289,1,47.01,0.0,47.01
S008251,2026-04-29,Oakland Park,P0016,1,9.61,0.0,9.61
S005977,2026-02-08,Lake Worth,P0226,1,19.09,0.0,19.09
S000304,2025-07-12,Oakland Park,P0205,1,34.1,0.0,34.1
S004561,2025-12-18,Dania Beach,P0060,1,16.29,2.0,14.29
S002038,2025-09-22,Oakland Park,P0138,1,18.5,0.0,18.5
S000633,2025-07-26,Lake Worth,P0156,1,33.24,0.0,33.24
S004993,2025-12-27,Oakland Park,P0099,1,32.17,0.0,32.17
S008549,2026-05-10,Dania Beach,P0258,1,20.03,0.0,20.03
S004956,2025-12-27,Lake Worth,P0088,1,14.79,0.0,14.79
S008833,2026-05-22,Oakland Park,P0135,1,18.06,0.0,18.06
S004822,2025-12-24,Lake Worth,P0120,1,23.21,0.0,23.21
S002813,2025-10-21,Dania Beach,P0257,1,21.09,0.0,21.09
S004721,2025-12-22,Oakland Park,P0286,1,17.06,0.0,17.06
S003172,2025-11-04,Dania Beach,P0271,1,13.23,0.0,13.23
S001165,2025-08-17,Dania Beach,P0258,1,20.03,0.0,20.03
S001348,2025-08-25,Dania Beach,P0258,1,20.03,0.0,20.03
S009715,2026-06-26,Oakland Park,P0068,1,18.85,0.0,18.85
S000797,2025-08-02,Oakland Park,P0258,1,20.03,0.0,20.03
S006899,2026-03-22,Dania Beach,P0115,1,35.88,0.0,35.88
S005987,2026-02-08,Dania Beach,P0131,2,10.61,0.0,21.22
S004722,2025-12-22,Dania Beach,P0028,2,22.61,0.0,45.22
S000459,2025-07-19,Dania Beach,P0265,1,19.55,0.0,19.55
S007155,2026-04-02,Dania Beach,P0061,2,13.54,0.0,27.08
S002066,2025-09-23,Dania Beach,P0293,1,17.47,0.0,17.47
S002690,2025-10-17,Oakland Park,P0263,1,24.16,0.0,24.16
S004106,2025-12-08,Oakland Park,P0093,1,10.98,5.0,5.98
S008423,2026-05-06,Lake Worth,P0229,1,15.22,2.0,13.22
S002653,2025-10-16,Oakland Park,P0100,2,34.67,0.0,69.34
S000040,2025-07-02,Lake Worth,P0041,1,11.22,0.0,11.22
S008862,2026-05-23,Oakland Park,P0258,3,20.03,0.0,60.09
S001424,2025-08-28,Oakland Park,P0107,1,35.69,0.0,35.69
S000250,2025-07-10,Dania Beach,P0258,2,20.03,2.0,36.06
S002736,2025-10-18,Dania Beach,P0016,2,9.61,0.0,19.22
S003882,2025-12-03,Oakland Park,P0258,2,20.03,0.0,40.06
S004526,2025-12-17,Oakland Park,P0058,1,6.59,0.0,6.59
S008744,2026-05-18,Dania Beach,P0027,2,16.28,0.0,32.56
S008367,2026-05-04,Dania Beach,P0227,1,22.7,0.0,22.7
S004698,2025-12-21,Dania Beach,P0121,1,26.48,0.0,26.48
S000500,2025-07-20,Lake Worth,P0042,1,16.07,0.0,16.07
S004736,2025-12-22,Dania Beach,P0024,1,12.01,5.0,7.01
S000962,2025-08-09,Dania Beach,P0282,1,14.8,0.0,14.8
S001177,2025-08-18,Oakland Park,P0250,1,26.07,0.0,26.07
S005206,2025-12-31,Oakland Park,P0297,1,17.64,2.0,15.64
S009112,2026-06-02,Dania Beach,P0279,1,5.18,0.0,5.18
S002123,2025-09-25,Dania Beach,P0232,1,35.97,0.0,35.97
S004399,2025-12-14,Dania Beach,P0265,1,19.55,0.0,19.55
S003860,2025-12-02,Oakland Park,P0235,1,21.78,0.0,21.78
S001335,2025-08-24,Dania Beach,P0097,1,11.18,0.0,11.18
S005913,2026-02-05,Oakland Park,P0157,1,8.43,5.0,3.43
S001081,2025-08-14,Oakland Park,P0199,1,11.97,0.0,11.97
S009272,2026-06-07,Lake Worth,P0295,1,27.7,0.0,27.7
S002315,2025-10-02,Oakland Park,P0143,2,33.65,5.0,57.3
S002407,2025-10-05,Oakland Park,P0120,1,23.21,0.0,23.21
S005578,2026-01-19,Dania Beach,P0014,1,41.58,2.0,39.58
S004360,2025-12-14,Lake Worth,P0206,1,25.28,0.0,25.28
S005102,2025-12-29,Dania Beach,P0258,1,20.03,0.0,20.03
S009390,2026-06-13,Dania Beach,P0237,1,18.61,0.0,18.61
S003188,2025-11-05,Dania Beach,P0028,1,22.61,2.0,20.61
S000773,2025-08-02,Lake Worth,P0279,2,5.18,0.0,10.36
S004241,2025-12-11,Dania Beach,P0133,1,31.55,0.0,31.55
S006051,2026-02-13,Lake Worth,P0169,1,28.05,0.0,28.05
S002465,2025-10-07,Oakland Park,P0200,1,20.12,0.0,20.12
S006383,2026-03-01,Dania Beach,P0138,1,18.5,0.0,18.5
S009643,2026-06-22,Dania Beach,P0057,2,31.85,0.0,63.7
S003808,2025-12-01,Lake Worth,P0287,1,38.39,0.0,38.39
S008856,2026-05-23,Oakland Park,P0215,1,5.21,0.0,5.21
S008970,2026-05-27,Oakland Park,P0289,1,47.01,0.0,47.01
S003485,2025-11-18,Lake Worth,P0083,1,9.28,0.0,9.28
S009353,2026-06-12,Dania Beach,P0225,2,30.83,5.0,51.66
S001664,2025-09-06,Dania Beach,P0228,1,12.36,0.0,12.36
S002826,2025-10-22,Dania Beach,P0098,1,12.85,2.0,10.85
S001388,2025-08-27,Oakland Park,P0155,1,33.74,0.0,33.74
S008638,2026-05-14,Dania Beach,P0132,1,38.62,2.0,36.62
S002957,2025-10-27,Lake Worth,P0229,1,15.22,0.0,15.22
S007271,2026-04-05,Lake Worth,P0208,1,8.68,0.0,8.68
S008382,2026-05-04,Lake Worth,P0104,1,23.8,0.0,23.8
S009445,2026-06-15,Oakland Park,P0045,1,31.47,0.0,31.47
S003383,2025-11-13,Lake Worth,P0125,1,30.0,0.0,30.0
S009711,2026-06-25,Oakland Park,P0272,1,18.29,0.0,18.29
S003083,2025-11-01,Dania Beach,P0007,1,18.87,0.0,18.87
S003529,2025-11-20,Dania Beach,P0242,1,16.38,0.0,16.38
S001604,2025-09-04,Dania Beach,P0258,1,20.03,0.0,20.03
S001074,2025-08-14,Dania Beach,P0258,1,20.03,0.0,20.03
S008426,2026-05-06,Oakland Park,P0114,1,22.91,0.0,22.91
S003458,2025-11-16,Dania Beach,P0123,1,32.28,0.0,32.28
S004305,2025-12-13,Lake Worth,P0156,1,33.24,0.0,33.24
S007630,2026-04-13,Dania Beach,P0031,1,23.06,0.0,23.06
S003398,2025-11-14,Oakland Park,P0145,1,18.52,0.0,18.52
S001969,2025-09-19,Dania Beach,P0229,1,15.22,2.0,13.22
S000380,2025-07-15,Lake Worth,P0232,1,35.97,0.0,35.97
S001765,2025-09-10,Oakland Park,P0294,1,30.88,0.0,30.88
S006592,2026-03-10,Oakland Park,P0101,1,40.29,0.0,40.29
S005556,2026-01-18,Lake Worth,P0278,1,27.49,2.0,25.49
S005291,2026-01-04,Dania Beach,P0134,1,13.77,2.0,11.77
S005790,2026-01-31,Dania Beach,P0136,1,34.18,0.0,34.18
S000021,2025-07-02,Lake Worth,P0134,1,13.77,0.0,13.77
S006065,2026-02-13,Lake Worth,P0150,1,8.12,0.0,8.12
S003773,2025-11-30,Oakland Park,P0178,2,35.29,0.0,70.58
S001340,2025-08-25,Oakland Park,P0070,2,22.38,0.0,44.76
S002190,2025-09-28,Dania Beach,P0095,1,15.25,0.0,15.25
S004178,2025-12-10,Lake Worth,P0039,1,18.68,0.0,18.68
S006549,2026-03-08,Dania Beach,P0258,1,20.03,5.0,15.03
S001768,2025-09-10,Oakland Park,P0042,1,16.07,0.0,16.07
S003848,2025-12-02,Lake Worth,P0098,1,12.85,0.0,12.85
S009452,2026-06-15,Oakland Park,P0293,1,17.47,0.0,17.47
S000041,2025-07-02,Oakland Park,P0222,1,25.03,0.0,25.03
S005910,2026-02-05,Oakland Park,P0107,1,35.69,0.0,35.69
S000091,2025-07-04,Oakland Park,P0123,1,32.28,0.0,32.28
S001543,2025-09-01,Oakland Park,P0137,1,34.89,0.0,34.89
S006063,2026-02-13,Oakland Park,P0250,1,26.07,0.0,26.07
S004961,2025-12-27,Dania Beach,P0095,2,15.25,0.0,30.5
S007468,2026-04-10,Dania Beach,P0120,2,23.21,2.0,42.42
S006288,2026-02-25,Dania Beach,P0222,1,25.03,0.0,25.03
S006147,2026-02-17,Dania Beach,P0074,1,23.62,2.0,21.62
S009117,2026-06-02,Lake Worth,P0097,1,11.18,2.0,9.18
S008257,2026-04-30,Lake Worth,P0069,1,21.4,0.0,21.4
S002554,2025-10-11,Dania Beach,P0269,1,19.37,0.0,19.37
S000885,2025-08-05,Dania Beach,P0050,1,16.14,0.0,16.14
S006677,2026-03-14,Dania Beach,P0031,1,23.06,5.0,18.06
S000044,2025-07-02,Oakland Park,P0181,1,38.54,0.0,38.54
S000205,2025-07-07,Dania Beach,P0005,1,12.32,2.0,10.32
S003213,2025-11-06,Oakland Park,P0298,1,10.79,2.0,8.79
S006133,2026-02-16,Oakland Park,P0181,3,38.54,5.0,100.62
S008878,2026-05-23,Lake Worth,P0112,1,9.26,0.0,9.26
S000844,2025-08-04,Dania Beach,P0258,1,20.03,0.0,20.03
S000283,2025-07-12,Oakland Park,P0144,1,39.21,0.0,39.21
S000546,2025-07-23,Dania Beach,P0257,2,21.09,0.0,42.18
S008518,2026-05-09,Oakland Park,P0117,1,13.24,0.0,13.24
S008233,2026-04-29,Dania Beach,P0229,3,15.22,0.0,45.66
S002234,2025-09-29,Dania Beach,P0071,1,14.0,0.0,14.0
S002890,2025-10-25,Oakland Park,P0138,1,18.5,0.0,18.5
S008245,2026-04-29,Dania Beach,P0141,1,18.03,0.0,18.03
S009026,2026-05-30,Dania Beach,P0157,1,8.43,0.0,8.43
S003115,2025-11-02,Oakland Park,P0197,1,24.23,0.0,24.23
S000867,2025-08-05,Oakland Park,P0271,2,13.23,0.0,26.46
S006920,2026-03-23,Lake Worth,P0055,1,18.49,2.0,16.49
S008743,2026-05-18,Dania Beach,P0257,1,21.09,0.0,21.09
S009490,2026-06-17,Dania Beach,P0251,1,16.69,0.0,16.69
S003050,2025-10-31,Dania Beach,P0108,1,11.87,0.0,11.87
S003390,2025-11-14,Oakland Park,P0141,1,18.03,5.0,13.03
S008121,2026-04-26,Dania Beach,P0196,1,23.33,0.0,23.33
S003641,2025-11-25,Lake Worth,P0181,1,38.54,0.0,38.54
S007053,2026-03-30,Dania Beach,P0229,1,15.22,0.0,15.22
S001425,2025-08-28,Dania Beach,P0002,1,33.09,0.0,33.09
S009077,2026-06-01,Lake Worth,P0250,1,26.07,0.0,26.07
S004866,2025-12-25,Dania Beach,P0009,1,10.82,0.0,10.82
S000073,2025-07-03,Oakland Park,P0240,1,29.77,0.0,29.77
S002508,2025-10-09,Oakland Park,P0255,1,34.26,0.0,34.26
S000882,2025-08-05,Oakland Park,P0063,1,32.31,0.0,32.31
S006701,2026-03-15,Oakland Park,P0025,1,37.2,2.0,35.2
S002424,2025-10-05,Oakland Park,P0247,1,11.6,0.0,11.6
S002783,2025-10-20,Dania Beach,P0262,1,32.15,0.0,32.15
S001055,2025-08-13,Lake Worth,P0099,1,32.17,0.0,32.17
S009197,2026-06-06,Dania Beach,P0028,1,22.61,0.0,22.61
S005001,2025-12-27,Dania Beach,P0141,3,18.03,0.0,54.09
S006982,2026-03-26,Oakland Park,P0159,1,5.86,0.0,5.86
S004680,2025-12-21,Lake Worth,P0122,2,15.39,0.0,30.78
S000185,2025-07-07,Lake Worth,P0240,1,29.77,2.0,27.77
S007603,2026-04-12,Oakland Park,P0258,1,20.03,0.0,20.03
S005396,2026-01-10,Dania Beach,P0145,1,18.52,0.0,18.52
S008276,2026-04-30,Oakland Park,P0080,1,3.25,0.0,3.25
S005084,2025-12-29,Lake Worth,P0183,1,39.68,0.0,39.68
S008832,2026-05-22,Oakland Park,P0007,1,18.87,0.0,18.87
S002046,2025-09-22,Oakland Park,P0014,1,41.58,0.0,41.58
S008562,2026-05-11,Dania Beach,P0078,1,34.08,0.0,34.08
S002915,2025-10-26,Oakland Park,P0101,1,40.29,0.0,40.29
S005276,2026-01-04,Lake Worth,P0229,1,15.22,0.0,15.22
S006128,2026-02-16,Dania Beach,P0229,1,15.22,0.0,15.22
S001677,2025-09-06,Dania Beach,P0006,1,18.74,0.0,18.74
S004610,2025-12-20,Oakland Park,P0079,2,38.19,0.0,76.38
S007353,2026-04-06,Dania Beach,P0090,1,39.67,2.0,37.67
S006935,2026-03-24,Oakland Park,P0258,2,20.03,0.0,40.06
S001278,2025-08-23,Oakland Park,P0023,1,36.9,0.0,36.9
S000423,2025-07-18,Lake Worth,P0269,1,19.37,2.0,17.37
S009579,2026-06-21,Oakland Park,P0250,1,26.07,0.0,26.07
S009831,2026-06-30,Oakland Park,P0028,1,22.61,0.0,22.61
S006108,2026-02-15,Lake Worth,P0022,1,7.3,0.0,7.3
S003430,2025-11-15,Dania Beach,P0028,1,22.61,0.0,22.61
S005717,2026-01-26,Dania Beach,P0028,1,22.61,2.0,20.61
S003072,2025-11-01,Lake Worth,P0157,2,8.43,0.0,16.86
S005818,2026-01-31,Oakland Park,P0028,1,22.61,0.0,22.61
S003803,2025-12-01,Lake Worth,P0233,1,22.74,0.0,22.74
S003676,2025-11-26,Oakland Park,P0082,1,11.34,5.0,6.34
S007763,2026-04-17,Oakland Park,P0191,1,35.79,0.0,35.79
S003647,2025-11-25,Oakland Park,P0074,1,23.62,0.0,23.62
S002101,2025-09-24,Lake Worth,P0079,1,38.19,5.0,33.19
S003104,2025-11-02,Oakland Park,P0090,1,39.67,0.0,39.67
S004648,2025-12-20,Oakland Park,P0258,1,20.03,2.0,18.03
S009466,2026-06-16,Oakland Park,P0253,1,12.31,0.0,12.31
S004717,2025-12-21,Lake Worth,P0095,3,15.25,0.0,45.75
S001836,2025-09-13,Dania Beach,P0190,1,31.63,0.0,31.63
S002140,2025-09-26,Lake Worth,P0169,1,28.05,0.0,28.05
S004677,2025-12-21,Dania Beach,P0007,1,18.87,0.0,18.87
S000539,2025-07-23,Oakland Park,P0040,1,30.27,0.0,30.27
S008076,2026-04-25,Dania Beach,P0253,1,12.31,0.0,12.31
S006364,2026-02-28,Oakland Park,P0095,3,15.25,0.0,45.75
S005819,2026-01-31,Oakland Park,P0095,1,15.25,0.0,15.25
S003947,2025-12-05,Oakland Park,P0224,1,28.47,0.0,28.47
S003986,2025-12-06,Oakland Park,P0073,2,20.85,0.0,41.7
S004059,2025-12-07,Oakland Park,P0047,1,11.39,0.0,11.39
S005259,2026-01-03,Lake Worth,P0258,1,20.03,0.0,20.03
S006803,2026-03-19,Oakland Park,P0095,1,15.25,0.0,15.25
S002857,2025-10-24,Oakland Park,P0232,1,35.97,0.0,35.97
S001556,2025-09-01,Dania Beach,P0005,1,12.32,0.0,12.32
S004638,2025-12-20,Dania Beach,P0227,3,22.7,0.0,68.1
S004402,2025-12-14,Dania Beach,P0264,2,39.66,0.0,79.32
S008402,2026-05-05,Dania Beach,P0104,1,23.8,0.0,23.8
S000417,2025-07-17,Oakland Park,P0102,1,16.27,0.0,16.27
S003704,2025-11-27,Oakland Park,P0250,2,26.07,0.0,52.14
S006945,2026-03-25,Dania Beach,P0258,1,20.03,0.0,20.03
S002738,2025-10-18,Dania Beach,P0120,1,23.21,0.0,23.21
S000700,2025-07-30,Oakland Park,P0067,1,22.05,0.0,22.05
S001283,2025-08-23,Lake Worth,P0028,1,22.61,0.0,22.61
S000243,2025-07-09,Oakland Park,P0266,1,28.75,0.0,28.75
S001194,2025-08-19,Oakland Park,P0035,1,25.13,2.0,23.13
S002772,2025-10-19,Lake Worth,P0230,2,15.88,0.0,31.76
S004290,2025-12-13,Oakland Park,P0231,1,16.4,0.0,16.4
S002677,2025-10-17,Oakland Park,P0043,1,11.96,0.0,11.96
S003733,2025-11-29,Dania Beach,P0028,1,22.61,0.0,22.61
S003842,2025-12-02,Dania Beach,P0285,1,24.04,0.0,24.04
S000068,2025-07-03,Lake Worth,P0068,1,18.85,0.0,18.85
S008762,2026-05-19,Dania Beach,P0173,1,28.8,0.0,28.8
S005664,2026-01-24,Dania Beach,P0149,1,20.51,0.0,20.51
S005975,2026-02-08,Dania Beach,P0069,1,21.4,2.0,19.4
S003286,2025-11-09,Dania Beach,P0258,2,20.03,0.0,40.06
S000054,2025-07-03,Oakland Park,P0076,1,28.11,0.0,28.11
S003541,2025-11-20,Dania Beach,P0185,1,20.14,0.0,20.14
S007081,2026-03-31,Oakland Park,P0099,1,32.17,0.0,32.17
S009276,2026-06-08,Oakland Park,P0258,1,20.03,2.0,18.03
S000621,2025-07-26,Oakland Park,P0040,2,30.27,0.0,60.54
S006674,2026-03-14,Oakland Park,P0239,1,7.76,0.0,7.76
S005427,2026-01-11,Dania Beach,P0119,1,10.1,0.0,10.1
S000824,2025-08-03,Oakland Park,P0112,1,9.26,5.0,4.26
S006791,2026-03-19,Oakland Park,P0120,1,23.21,0.0,23.21
S003454,2025-11-16,Dania Beach,P0205,1,34.1,2.0,32.1
S004901,2025-12-26,Oakland Park,P0100,1,34.67,0.0,34.67
S008031,2026-04-24,Dania Beach,P0258,1,20.03,0.0,20.03
S007236,2026-04-04,Oakland Park,P0241,1,10.09,0.0,10.09
S007958,2026-04-22,Lake Worth,P0230,1,15.88,0.0,15.88
S008806,2026-05-21,Dania Beach,P0257,1,21.09,0.0,21.09
S007382,2026-04-07,Dania Beach,P0233,1,22.74,0.0,22.74
S007953,2026-04-22,Dania Beach,P0210,1,17.31,0.0,17.31
S006507,2026-03-07,Lake Worth,P0181,1,38.54,0.0,38.54
S004824,2025-12-24,Oakland Park,P0045,1,31.47,2.0,29.47
S005988,2026-02-08,Dania Beach,P0258,1,20.03,0.0,20.03
S003271,2025-11-09,Lake Worth,P0042,1,16.07,2.0,14.07
S004874,2025-12-25,Dania Beach,P0062,1,34.29,0.0,34.29
S005650,2026-01-23,Lake Worth,P0020,1,24.25,0.0,24.25
S008153,2026-04-26,Lake Worth,P0099,1,32.17,0.0,32.17
S007350,2026-04-06,Oakland Park,P0116,1,38.74,0.0,38.74
S004629,2025-12-20,Oakland Park,P0258,1,20.03,2.0,18.03
S001250,2025-08-21,Dania Beach,P0232,1,35.97,0.0,35.97
S005929,2026-02-06,Dania Beach,P0004,2,33.33,0.0,66.66
S002126,2025-09-25,Lake Worth,P0258,1,20.03,0.0,20.03
S009389,2026-06-13,Dania Beach,P0250,2,26.07,0.0,52.14
S002775,2025-10-19,Dania Beach,P0112,1,9.26,2.0,7.26
S003954,2025-12-05,Dania Beach,P0207,1,8.62,0.0,8.62
S006464,2026-03-05,Dania Beach,P0071,1,14.0,0.0,14.0
S008649,2026-05-15,Dania Beach,P0028,1,22.61,0.0,22.61
S007147,2026-04-02,Dania Beach,P0157,1,8.43,0.0,8.43
S007806,2026-04-18,Dania Beach,P0161,1,43.05,2.0,41.05
S000321,2025-07-13,Dania Beach,P0102,1,16.27,0.0,16.27
S001400,2025-08-27,Lake Worth,P0250,3,26.07,0.0,78.21
S006926,2026-03-24,Oakland Park,P0137,1,34.89,0.0,34.89
S002082,2025-09-23,Dania Beach,P0188,2,14.19,0.0,28.38
S005866,2026-02-03,Oakland Park,P0100,1,34.67,0.0,34.67
S002944,2025-10-27,Oakland Park,P0112,1,9.26,0.0,9.26
S005057,2025-12-28,Dania Beach,P0253,1,12.31,0.0,12.31
S003441,2025-11-16,Dania Beach,P0285,1,24.04,0.0,24.04
S003266,2025-11-08,Oakland Park,P0229,1,15.22,0.0,15.22
S001734,2025-09-08,Oakland Park,P0167,1,11.11,0.0,11.11
S009359,2026-06-12,Oakland Park,P0076,2,28.11,0.0,56.22
S004340,2025-12-13,Oakland Park,P0120,1,23.21,0.0,23.21
S002662,2025-10-16,Lake Worth,P0091,1,10.86,0.0,10.86
S000605,2025-07-26,Lake Worth,P0160,1,15.14,0.0,15.14
S001195,2025-08-19,Dania Beach,P0133,1,31.55,0.0,31.55
S004706,2025-12-21,Dania Beach,P0174,1,17.55,0.0,17.55
S000353,2025-07-14,Dania Beach,P0106,1,14.38,0.0,14.38
S002255,2025-09-30,Oakland Park,P0081,1,12.2,0.0,12.2
S004856,2025-12-25,Lake Worth,P0102,1,16.27,5.0,11.27
S002406,2025-10-05,Oakland Park,P0181,2,38.54,0.0,77.08
S009564,2026-06-20,Dania Beach,P0173,1,28.8,0.0,28.8
S007501,2026-04-11,Lake Worth,P0258,1,20.03,0.0,20.03
S003492,2025-11-18,Oakland Park,P0233,1,22.74,0.0,22.74
S001319,2025-08-24,Lake Worth,P0035,1,25.13,0.0,25.13
S003747,2025-11-29,Dania Beach,P0181,2,38.54,0.0,77.08
S005815,2026-01-31,Oakland Park,P0250,1,26.07,0.0,26.07
S002112,2025-09-24,Dania Beach,P0258,1,20.03,0.0,20.03
S005648,2026-01-23,Dania Beach,P0017,1,13.63,0.0,13.63
S008853,2026-05-23,Dania Beach,P0229,1,15.22,0.0,15.22
S001923,2025-09-17,Dania Beach,P0260,1,16.34,0.0,16.34
S006619,2026-03-11,Dania Beach,P0293,1,17.47,0.0,17.47
S003471,2025-11-17,Lake Worth,P0140,1,17.16,0.0,17.16
S006071,2026-02-14,Oakland Park,P0201,3,37.27,0.0,111.81
S005144,2025-12-30,Dania Beach,P0079,1,38.19,0.0,38.19
S008193,2026-04-27,Oakland Park,P0004,1,33.33,0.0,33.33
S003736,2025-11-29,Oakland Park,P0041,1,11.22,0.0,11.22
S009744,2026-06-27,Oakland Park,P0063,2,32.31,0.0,64.62
S001092,2025-08-15,Dania Beach,P0181,1,38.54,0.0,38.54
S000166,2025-07-06,Oakland Park,P0028,1,22.61,5.0,17.61
S001475,2025-08-30,Dania Beach,P0123,1,32.28,2.0,30.28
S008871,2026-05-23,Lake Worth,P0077,1,38.06,0.0,38.06
S006058,2026-02-13,Dania Beach,P0258,1,20.03,5.0,15.03
S007946,2026-04-22,Lake Worth,P0225,1,30.83,0.0,30.83
S005741,2026-01-28,Oakland Park,P0188,1,14.19,2.0,12.19
S002050,2025-09-22,Dania Beach,P0153,1,24.73,0.0,24.73
S000991,2025-08-10,Dania Beach,P0024,1,12.01,2.0,10.01
S000584,2025-07-25,Dania Beach,P0122,1,15.39,0.0,15.39
S008012,2026-04-23,Dania Beach,P0120,2,23.21,0.0,46.42
S004223,2025-12-11,Lake Worth,P0170,1,12.29,0.0,12.29
S006582,2026-03-09,Oakland Park,P0249,1,24.88,0.0,24.88
S002089,2025-09-23,Lake Worth,P0255,1,34.26,0.0,34.26
S002096,2025-09-24,Lake Worth,P0082,1,11.34,0.0,11.34
S002593,2025-10-13,Lake Worth,P0209,1,38.73,0.0,38.73
S002420,2025-10-05,Oakland Park,P0112,1,9.26,0.0,9.26
S002621,2025-10-14,Oakland Park,P0050,1,16.14,0.0,16.14
S001057,2025-08-13,Dania Beach,P0258,1,20.03,0.0,20.03
S004422,2025-12-15,Lake Worth,P0116,1,38.74,0.0,38.74
S005855,2026-02-02,Dania Beach,P0120,1,23.21,0.0,23.21
S008322,2026-05-02,Lake Worth,P0023,1,36.9,0.0,36.9
S000003,2025-07-01,Dania Beach,P0034,1,17.39,0.0,17.39
S005487,2026-01-15,Oakland Park,P0258,1,20.03,2.0,18.03
S008546,2026-05-10,Lake Worth,P0181,1,38.54,0.0,38.54
S005163,2025-12-30,Oakland Park,P0147,1,40.67,0.0,40.67
S004597,2025-12-19,Lake Worth,P0100,1,34.67,0.0,34.67
S008521,2026-05-10,Oakland Park,P0060,1,16.29,0.0,16.29
S009738,2026-06-27,Dania Beach,P0057,1,31.85,0.0,31.85
S001330,2025-08-24,Lake Worth,P0141,1,18.03,0.0,18.03
S009207,2026-06-06,Lake Worth,P0050,1,16.14,0.0,16.14
S006493,2026-03-06,Lake Worth,P0065,1,22.31,0.0,22.31
S001961,2025-09-18,Oakland Park,P0067,1,22.05,0.0,22.05
S003621,2025-11-23,Dania Beach,P0058,1,6.59,0.0,6.59
