snapshot_date,location,product_id,quantity_on_hand,days_in_stock,reorder_level
2025-12-31,Dania Beach,P0073,0,0,3
2026-02-28,Lake Worth,P0102,8,52,1
2026-06-30,Dania Beach,P0278,2,24,3
2026-01-31,Oakland Park,P0212,4,195,2
2026-01-31,Lake Worth,P0296,3,52,2
2025-07-31,Dania Beach,P0144,0,0,3
2026-04-30,Oakland Park,P0216,0,6,1
2025-09-30,Dania Beach,P0202,3,45,3
2026-01-31,Dania Beach,P0187,2,30,2
2026-05-31,Lake Worth,P0294,8,27,3
2025-08-31,Dania Beach,P0089,1,32,3
2026-02-28,Oakland Park,P0235,0,8,2
2025-10-31,Lake Worth,P0007,0,71,1
2026-03-31,Oakland Park,P0052,1,40,1
2025-08-31,Lake Worth,P0179,0,56,1
2025-07-31,Lake Worth,P0244,5,41,2
2025-10-31,Oakland Park,P0055,2,12,2
2026-01-31,Dania Beach,P0143,2,33,2
2025-11-30,Lake Worth,P0246,0,39,3
2025-12-31,Oakland Park,P0247,4,40,3
2026-06-30,Dania Beach,P0219,4,22,3
2026-04-30,Dania Beach,P0073,0,0,1
2026-03-31,Oakland Park,P0207,5,52,1
2026-05-31,Oakland Park,P0180,3,250,2
2026-02-28,Dania Beach,P0257,4,62,1
2025-08-31,Dania Beach,P0255,4,203,2
2026-02-28,Lake Worth,P0180,4,58,2
2025-08-31,Oakland Park,P0189,13,109,2
2025-09-30,Oakland Park,P0036,6,107,1
2026-01-31,Dania Beach,P0172,0,15,2
2026-01-31,Oakland Park,P0089,2,37,1
2025-07-31,Lake Worth,P0213,1,6,2
2025-12-31,Dania Beach,P0199,3,32,3
2025-10-31,Lake Worth,P0242,6,19,3
2025-08-31,Oakland Park,P0068,12,28,1
2026-05-31,Oakland Park,P0160,1,31,2
2026-03-31,Oakland Park,P0061,3,26,2
2025-12-31,Lake Worth,P0057,5,276,2
2026-03-31,Lake Worth,P0088,3,68,2
2025-07-31,Dania Beach,P0276,2,39,1
2026-02-28,Dania Beach,P0103,4,71,3
2025-12-31,Dania Beach,P0040,0,61,2
2026-03-31,Dania Beach,P0026,1,50,3
2026-05-31,Oakland Park,P0005,4,11,1
2025-09-30,Oakland Park,P0210,4,66,2
2026-06-30,Lake Worth,P0061,7,29,1
2025-07-31,Oakland Park,P0144,10,90,1
2025-11-30,Dania Beach,P0019,3,123,1
2025-07-31,Oakland Park,P0228,4,9,1
2026-04-30,Oakland Park,P0177,4,53,2
2026-02-28,Lake Worth,P0174,0,48,1
2026-03-31,Lake Worth,P0099,21,13,2
2026-03-31,Dania Beach,P0089,0,5,2
2026-03-31,Lake Worth,P0108,3,32,1
2026-01-31,Oakland Park,P0278,3,58,3
2025-12-31,Dania Beach,P0130,1,10,3
2026-03-31,Lake Worth,P0206,2,75,3
2026-03-31,Lake Worth,P0288,8,91,1
2025-12-31,Oakland Park,P0195,1,62,1
2025-10-31,Lake Worth,P0136,2,54,2
2025-12-31,Dania Beach,P0290,0,27,1
2025-12-31,Lake Worth,P0263,1,42,3
2026-02-28,Dania Beach,P0165,0,70,2
2026-04-30,Oakland Park,P0039,4,29,1
2026-01-31,Dania Beach,P0263,0,0,2
2025-07-31,Oakland Park,P0260,3,27,2
2026-03-31,Oakland Park,P0023,6,51,2
2026-06-30,Dania Beach,P0138,28,69,1
2026-02-28,Lake Worth,P0088,2,314,3
2026-03-31,Oakland Park,P0193,4,70,3
2025-11-30,Lake Worth,P0297,7,188,1
2026-05-31,Dania Beach,P0178,0,0,2
2025-09-30,Oakland Park,P0249,1,62,2
2025-09-30,Lake Worth,P0281,7,56,1
2026-02-28,Lake Worth,P0108,2,23,2
2026-03-31,Dania Beach,P0226,1,36,2
2025-08-31,Dania Beach,P0263,0,0,2
2025-10-31,Lake Worth,P0129,3,45,1
2026-03-31,Dania Beach,P0109,5,124,2
2026-06-30,Lake Worth,P0294,4,155,1
2025-08-31,Lake Worth,P0211,3,36,1
2026-01-31,Lake Worth,P0069,22,71,2
2025-11-30,Lake Worth,P0130,4,38,1
2026-04-30,Dania Beach,P0112,19,308,1
2026-03-31,Oakland Park,P0241,0,73,2
2025-12-31,Dania Beach,P0008,8,189,3
2026-04-30,Dania Beach,P0212,0,34,2
2025-07-31,Dania Beach,P0079,7,37,2
2026-02-28,Oakland Park,P0299,4,116,1
2026-05-31,Dania Beach,P0106,0,57,1
2026-06-30,Lake Worth,P0243,5,160,2
2026-05-31,Lake Worth,P0171,2,67,2
2025-10-31,Dania Beach,P0170,0,0,2
2026-04-30,Dania Beach,P0055,2,40,1
2025-07-31,Lake Worth,P0021,0,47,2
2026-03-31,Oakland Park,P0137,7,38,2
2026-02-28,Lake Worth,P0049,0,11,3
2026-05-31,Lake Worth,P0075,1,106,3
2026-01-31,Lake Worth,P0140,0,26,1
2025-11-30,Dania Beach,P0020,8,23,3
2026-03-31,Dania Beach,P0038,4,14,2
2025-12-31,Oakland Park,P0065,3,24,2
2025-09-30,Lake Worth,P0024,3,21,2
2025-10-31,Oakland Park,P0043,3,10,1
2026-02-28,Oakland Park,P0021,0,50,2
2026-02-28,Lake Worth,P0191,4,13,2
2026-05-31,Oakland Park,P0275,5,10,3
2026-06-30,Lake Worth,P0183,6,60,3
2025-09-30,Dania Beach,P0157,13,204,3
2026-03-31,Dania Beach,P0115,0,0,2
2026-06-30,Dania Beach,P0273,2,226,2
2026-03-31,Lake Worth,P0080,2,114,2
2025-11-30,Lake Worth,P0104,9,20,2
2026-06-30,Dania Beach,P0089,0,52,2
2025-11-30,Dania Beach,P0219,1,14,1
2026-05-31,Oakland Park,P0184,2,166,2
2025-08-31,Lake Worth,P0178,2,21,1
2025-07-31,Dania Beach,P0063,9,36,3
2026-03-31,Oakland Park,P0060,9,11,3
2026-01-31,Dania Beach,P0170,0,0,2
2026-01-31,Dania Beach,P0243,1,70,2
2026-01-31,Lake Worth,P0105,7,29,2
2025-09-30,Oakland Park,P0054,6,68,1
2026-06-30,Dania Beach,P0060,11,46,2
2025-12-31,Lake Worth,P0252,3,28,1
2026-01-31,Dania Beach,P0028,66,161,3
2026-06-30,Lake Worth,P0154,7,33,3
2025-08-31,Lake Worth,P0256,0,15,2
2026-04-30,Lake Worth,P0264,10,32,2
2026-06-30,Oakland Park,P0074,4,17,2
2026-06-30,Oakland Park,P0119,3,22,1
2025-09-30,Dania Beach,P0211,8,193,2
2025-11-30,Dania Beach,P0159,3,63,2
2025-10-31,Dania Beach,P0236,6,61,3
2026-04-30,Lake Worth,P0298,16,20,1
2026-04-30,Oakland Park,P0259,5,22,3
2025-11-30,Oakland Park,P0024,13,194,2
2026-04-30,Lake Worth,P0157,12,54,3
2025-12-31,Lake Worth,P0167,2,62,2
2026-05-31,Dania Beach,P0278,7,266,3
2026-02-28,Oakland Park,P0038,0,67,2
2026-02-28,Lake Worth,P0113,7,24,1
2026-04-30,Oakland Park,P0010,6,178,2
2026-06-30,Oakland Park,P0297,4,70,2
2026-05-31,Dania Beach,P0251,5,19,2
2025-08-31,Dania Beach,P0298,14,16,3
2026-06-30,Lake Worth,P0134,6,75,3
2026-06-30,Oakland Park,P0042,16,61,3
2026-02-28,Oakland Park,P0280,1,62,1
2026-05-31,Dania Beach,P0229,67,58,2
2025-09-30,Oakland Park,P0194,0,72,2
2026-04-30,Lake Worth,P0259,6,64,2
2025-11-30,Oakland Park,P0113,8,36,2
2026-03-31,Lake Worth,P0112,21,223,2
2025-08-31,Oakland Park,P0075,0,48,3
2025-09-30,Lake Worth,P0004,9,40,3
2026-06-30,Oakland Park,P0080,1,9,2
2025-09-30,Lake Worth,P0176,7,54,1
2026-01-31,Oakland Park,P0058,9,5,2
2025-11-30,Dania Beach,P0150,0,35,1
2026-06-30,Lake Worth,P0009,6,41,2
2026-04-30,Lake Worth,P0263,8,9,2
2025-07-31,Oakland Park,P0037,5,20,2
2025-11-30,Oakland Park,P0104,7,289,2
2026-05-31,Oakland Park,P0256,0,36,2
2025-11-30,Dania Beach,P0056,4,61,2
2025-12-31,Oakland Park,P0076,4,16,2
2025-07-31,Lake Worth,P0072,1,52,3
2025-08-31,Oakland Park,P0065,0,49,1
2025-10-31,Oakland Park,P0116,10,21,2
2025-10-31,Dania Beach,P0201,4,17,1
2026-03-31,Dania Beach,P0184,0,45,1
2025-12-31,Oakland Park,P0108,9,53,1
2026-04-30,Oakland Park,P0094,0,71,1
2026-06-30,Oakland Park,P0205,11,120,3
2025-07-31,Oakland Park,P0245,6,31,3
2025-12-31,Oakland Park,P0134,10,26,1
2026-01-31,Dania Beach,P0074,0,9,2
2025-11-30,Oakland Park,P0211,4,214,2
2026-03-31,Dania Beach,P0194,0,63,3
2025-11-30,Dania Beach,P0269,4,32,2
2025-11-30,Dania Beach,P0253,17,38,2
2026-06-30,Lake Worth,P0056,3,53,3
2025-09-30,Lake Worth,P0261,4,7,2
2026-03-31,Oakland Park,P0073,13,88,2
2025-08-31,Dania Beach,P0058,8,32,1
2026-02-28,Dania Beach,P0048,3,21,2
2026-03-31,Lake Worth,P0170,5,14,2
2026-05-31,Dania Beach,P0128,0,0,3
2025-10-31,Oakland Park,P0034,1,156,2
2025-08-31,Oakland Park,P0001,0,28,2
2026-06-30,Dania Beach,P0259,5,75,1
2026-06-30,Dania Beach,P0257,3,13,2
2026-01-31,Oakland Park,P0008,4,38,1
2026-01-31,Lake Worth,P0122,9,101,2
2026-03-31,Lake Worth,P0102,7,17,2
2025-10-31,Dania Beach,P0258,159,68,2
2025-10-31,Lake Worth,P0060,12,11,1
2026-06-30,Oakland Park,P0181,32,185,3
2026-05-31,Lake Worth,P0032,1,6,2
2026-06-30,Oakland Park,P0142,2,13,2
2026-01-31,Lake Worth,P0115,3,51,3
2026-03-31,Dania Beach,P0250,44,19,2
2025-07-31,Oakland Park,P0087,1,26,2
2026-04-30,Dania Beach,P0233,10,45,3
2026-05-31,Lake Worth,P0254,0,18,2
2026-03-31,Dania Beach,P0229,64,37,3
2026-02-28,Dania Beach,P0156,0,0,2
2025-07-31,Lake Worth,P0176,2,46,2
2025-08-31,Oakland Park,P0105,5,54,3
2026-02-28,Lake Worth,P0023,6,74,1
2026-05-31,Oakland Park,P0173,9,45,1
2025-07-31,Lake Worth,P0023,0,70,1
2025-07-31,Oakland Park,P0269,2,34,1
2025-11-30,Lake Worth,P0186,5,22,2
2025-12-31,Dania Beach,P0136,1,62,3
2025-08-31,Oakland Park,P0275,4,57,3
2025-12-31,Lake Worth,P0235,0,17,2
2025-09-30,Dania Beach,P0098,7,26,2
2025-10-31,Dania Beach,P0065,1,63,2
2025-11-30,Oakland Park,P0109,2,265,2
2025-12-31,Dania Beach,P0294,7,58,3
2026-05-31,Lake Worth,P0281,6,24,2
2026-06-30,Oakland Park,P0167,2,21,2
2026-05-31,Oakland Park,P0115,10,152,1
2026-02-28,Lake Worth,P0136,0,14,3
2025-07-31,Lake Worth,P0063,4,73,3
2026-06-30,Oakland Park,P0189,12,106,2
2026-06-30,Oakland Park,P0276,0,14,3
2026-05-31,Lake Worth,P0074,3,31,2
2025-12-31,Dania Beach,P0220,0,68,3
2025-08-31,Lake Worth,P0014,4,18,2
2025-09-30,Dania Beach,P0267,3,294,3
2026-05-31,Lake Worth,P0299,3,14,2
2026-04-30,Oakland Park,P0145,12,29,2
2025-07-31,Lake Worth,P0165,1,320,2
2026-02-28,Dania Beach,P0210,0,69,1
2025-08-31,Oakland Park,P0154,6,119,2
2025-07-31,Dania Beach,P0292,2,55,2
2026-02-28,Dania Beach,P0117,0,50,2
2026-02-28,Dania Beach,P0188,0,0,2
2025-07-31,Lake Worth,P0087,1,176,3
2025-09-30,Oakland Park,P0024,14,151,2
2025-12-31,Dania Beach,P0251,5,6,1
2026-04-30,Dania Beach,P0029,5,36,2
2026-03-31,Dania Beach,P0167,4,33,3
2025-08-31,Lake Worth,P0171,4,69,2
2025-09-30,Lake Worth,P0282,3,196,2
2025-07-31,Dania Beach,P0261,4,151,2
2025-11-30,Lake Worth,P0060,12,113,3
2026-02-28,Oakland Park,P0243,3,73,3
2026-03-31,Dania Beach,P0029,3,307,3
2026-06-30,Dania Beach,P0173,8,50,2
2025-10-31,Lake Worth,P0278,6,6,2
2026-04-30,Oakland Park,P0183,5,72,2
2026-01-31,Lake Worth,P0081,3,28,3
2026-04-30,Lake Worth,P0066,0,20,2
2026-01-31,Dania Beach,P0229,63,167,1
2025-11-30,Oakland Park,P0003,0,51,2
2026-03-31,Dania Beach,P0125,4,184,3
2026-01-31,Lake Worth,P0150,4,157,1
2025-11-30,Dania Beach,P0246,2,72,1
2025-08-31,Dania Beach,P0225,19,52,1
2026-06-30,Oakland Park,P0114,3,18,3
2026-03-31,Oakland Park,P0078,3,292,3
2025-07-31,Dania Beach,P0087,0,50,3
2026-05-31,Oakland Park,P0289,1,43,3
2025-08-31,Oakland Park,P0190,4,178,2
2026-03-31,Oakland Park,P0210,2,282,1
2025-12-31,Lake Worth,P0203,0,60,2
2025-10-31,Lake Worth,P0187,0,63,1
2026-06-30,Oakland Park,P0101,4,70,1
2026-04-30,Oakland Park,P0100,15,298,2
2026-02-28,Lake Worth,P0111,0,74,2
2026-03-31,Oakland Park,P0222,4,40,2
2026-01-31,Lake Worth,P0173,8,67,2
2025-11-30,Dania Beach,P0189,0,0,3
2026-01-31,Dania Beach,P0247,0,54,2
2025-10-31,Oakland Park,P0295,0,46,1
2025-10-31,Oakland Park,P0164,1,54,2
2025-09-30,Lake Worth,P0124,0,54,3
2025-09-30,Dania Beach,P0153,6,9,3
2026-06-30,Lake Worth,P0257,1,10,2
2025-12-31,Oakland Park,P0232,13,41,2
2026-06-30,Lake Worth,P0208,2,126,2
2026-04-30,Oakland Park,P0180,6,59,2
2026-01-31,Oakland Park,P0151,7,71,1
2026-03-31,Lake Worth,P0087,2,20,1
2025-07-31,Oakland Park,P0233,14,51,1
2025-09-30,Dania Beach,P0179,1,59,3
2026-06-30,Oakland Park,P0246,0,9,1
2025-12-31,Oakland Park,P0060,12,5,3
2026-06-30,Oakland Park,P0131,2,51,2
2025-09-30,Dania Beach,P0136,0,30,3
2026-04-30,Oakland Park,P0251,4,64,3
2026-06-30,Dania Beach,P0223,6,11,3
2026-04-30,Lake Worth,P0269,3,178,2
2025-10-31,Dania Beach,P0037,5,71,3
2026-05-31,Dania Beach,P0171,2,36,1
2026-06-30,Dania Beach,P0001,5,75,1
2025-10-31,Dania Beach,P0286,10,74,2
2025-11-30,Dania Beach,P0224,2,50,2
2026-03-31,Lake Worth,P0056,0,70,2
2026-04-30,Lake Worth,P0189,2,73,2
2026-03-31,Lake Worth,P0158,4,66,2
2025-08-31,Lake Worth,P0129,1,25,2
2025-08-31,Oakland Park,P0232,14,36,3
2026-06-30,Lake Worth,P0020,5,49,3
2026-02-28,Dania Beach,P0253,16,39,2
2026-04-30,Dania Beach,P0116,11,74,2
2026-05-31,Oakland Park,P0281,4,29,2
2026-01-31,Oakland Park,P0222,3,73,1
2026-03-31,Lake Worth,P0200,1,27,2
2026-03-31,Oakland Park,P0026,1,42,3
2025-10-31,Dania Beach,P0233,13,44,2
2025-10-31,Oakland Park,P0018,3,49,3
2025-11-30,Oakland Park,P0061,4,8,1
2026-03-31,Dania Beach,P0151,0,0,2
2026-03-31,Dania Beach,P0076,5,15,3
2025-09-30,Lake Worth,P0060,6,95,1
2025-12-31,Oakland Park,P0283,11,15,1
2025-12-31,Lake Worth,P0082,7,7,2
2026-06-30,Oakland Park,P0259,3,118,2
2025-07-31,Dania Beach,P0214,0,58,3
2025-08-31,Oakland Park,P0137,7,140,2
2025-09-30,Oakland Park,P0218,4,46,2
2025-12-31,Dania Beach,P0162,4,33,2
2026-04-30,Oakland Park,P0239,2,21,2
2025-10-31,Oakland Park,P0193,3,53,2
2026-02-28,Oakland Park,P0059,0,56,3
2026-06-30,Oakland Park,P0156,10,308,2
2026-03-31,Oakland Park,P0203,3,62,3
2025-10-31,Lake Worth,P0210,0,26,3
2025-11-30,Lake Worth,P0173,10,75,2
2025-11-30,Oakland Park,P0221,2,5,1
2026-01-31,Lake Worth,P0047,5,7,2
2025-12-31,Dania Beach,P0053,0,35,3
2025-07-31,Lake Worth,P0167,3,15,2
2026-01-31,Dania Beach,P0180,5,74,2
2026-03-31,Dania Beach,P0249,3,16,3
2025-11-30,Oakland Park,P0195,4,206,3
2026-05-31,Dania Beach,P0287,0,41,2
2025-07-31,Dania Beach,P0059,0,25,3
2026-02-28,Oakland Park,P0043,0,37,2
2026-02-28,Lake Worth,P0027,1,13,2
2026-02-28,Lake Worth,P0285,6,75,3
2025-12-31,Dania Beach,P0281,5,12,2
