sale_id,sale_date,location,product_id,quantity,unit_price,discount
S003676,11/26/2025,Oakland Park,P0082,1,11.34,5.0
S007763,2026-04-17,Oakland Park,P0191,1,35.79,0.0
S003647,2025-11-25,Oakland Park,P0074,1,23.62,0.0
S002101,9/24/2025,Lake Worth,P0079,1,$38.19,5.0
S003104,2025-11-02,Oakland Park,P0090,1,39.67,0.0
S004648,2025-12-20,Oakland Park,P0258,1,20.03,2.0
S009466,2026-06-16,oakland park,P0253,1,12.31,0.0
S004717,2025-12-21,Lake Worth,P0095,3,15.25,0.0
S001836,2025-09-13,Dania Beach,P0190,1,31.63,0.0
S002140,2025-09-26,Lake Worth,P0169,1,28.05,0.0
S004677,2025-12-21,Dania Beach,P0007,1,18.87,0.0
S000539,2025-07-23,Oakland Park,P0040,1,30.27,0.0
S008076,2026-04-25,Dania Beach,P0253,1,12.31,0.0
S006364,2026-02-28,Oakland Park,P0095,3,15.25,0.0
S005819,1/31/2026,Oakland Park,P0095,1,15.25,0.0
S003947,12/5/2025,Oakland Park,P0224,1,28.47,0.0
S003986,12/6/2025,Oakland Park,P0073,2,20.85,0.0
S004059,2025-12-07,Oakland Park,P0047,1,11.39,0.0
S005259,2026-01-03,Lake Worth,P0258,1,20.03,0.0
S006803,2026-03-19,OAKLAND PARK,P0095,1,15.25,0.0
S002857,2025-10-24,Oakland Park,P0232,1,35.97,0.0
S001556,2025-09-01,Dania Beach,P0005,1,12.32,0.0
S004638,2025-12-20,Dania Beach,P0227,3,22.7,0.0
S004402,2025-12-14,Dania Beach,P0264,2,39.66,0.0
S008402,2026-05-05,Dania Beach,P0104,1,23.8,0.0
S000417,2025-07-17,Oakland Park,P0102,1,16.27,0.0
S003704,2025-11-27,Oakland Park,P0250,2,26.07,0.0
S006945,2026-03-25,Dania Beach,P0258,1,20.03,0.0
S002738,2025-10-18,Dania Beach,P0120,1,23.21,0.0
S000700,2025-07-30,Oakland Park,P0067,1,22.05,0.0
S001283,2025-08-23,Lake Worth,P0028,1,22.61,0.0
S000243,2025-07-09,Oakland Park,P0266,1,28.75,0.0
S001194,2025-08-19,Oakland Park,P0035,1,25.13,2.0
S002772,2025-10-19,lake worth,P0230,2,15.88,0.0
S004290,2025-12-13,Oakland Park,P0231,1,16.4,0.0
S002677,2025-10-17,Oakland Park,P0043,1,11.96,0.0
S003733,2025-11-29,Dania Beach,P0028,1,22.61,0.0
S003842,2025-12-02,Dania Beach,P0285,1,24.04,0.0
S000068,7/3/2025,Lake Worth,P0068,1,18.85,0.0
S008762,2026-05-19,Dania Beach,P0173,1,$28.8,0.0
S005664,2026-01-24,Dania Beach,P0149,1,20.51,0.0
S005975,2026-02-08,Dania Beach,P0069,1,21.4,2.0
S003286,2025-11-09,Dania Beach,P0258,2,20.03,0.0
S000054,2025-07-03,Oakland Park,P0076,1,28.11,0.0
S003541,2025-11-20,Dania Beach,P0185,1,20.14,0.0
S007081,2026-03-31,Oakland Park,P0099,1,32.17,0.0
S009276,2026-06-08,Oakland Park,P0258,1,20.03,2.0
S000621,2025-07-26,Oakland Park,P0040,2,30.27,0.0
S006674,2026-03-14,Oakland Park,P0239,1,7.76,0.0
S005427,2026-01-11,Dania Beach,P0119,1,10.1,0.0
S000824,2025-08-03,Oakland Park,P0112,1,9.26,5.0
S006791,3/19/2026,Oakland Park,P0120,1,23.21,0.0
S003454,2025-11-16,Dania Beach,P0205,1,$34.1,2.0
S004901,12/26/2025,Oakland Park,P0100,1,$34.67,0.0
S008031,2026-04-24,Dania Beach,P0258,1,20.03,0.0
S007236,2026-04-04,Oakland Park,P0241,1,10.09,
S007958,2026-04-22,Lake Worth,P0230,1,15.88,0.0
S008806,2026-05-21,Dania Beach,P0257,1,21.09,0.0
S007382,2026-04-07,Dania Beach,P0233,1,22.74,0.0
S007953,2026-04-22,Dania Beach,P0210,1,17.31,0.0
S006507,2026-03-07,Lake Worth,P0181,1,38.54,0.0
S004824,12/24/2025,Oakland Park,P0045,1,31.47,2.0
S005988,2026-02-08,Dania Beach,P0258,1,20.03,0.0
S003271,2025-11-09,Lake Worth,P0042,1,16.07,2.0
S004874,2025-12-25,dania beach,P0062,1,34.29,0.0
S005650,2026-01-23,Lake Worth,P0020,1,$24.25,0.0
S008153,2026-04-26,Lake Worth,P0099,1,32.17,0.0
S007350,2026-04-06,Oakland Park,P0116,1,38.74,0.0
S004629,12/20/2025,Oakland Park,P0258,1,20.03,2.0
S001250,2025-08-21,Dania Beach,P0232,1,35.97,0.0
S005929,2/6/2026,Dania Beach,P0004,2,33.33,0.0
S002126,2025-09-25,Lake Worth,P0258,1,20.03,0.0
S009389,6/13/2026,Dania Beach,P0250,2,26.07,0.0
S002775,2025-10-19,Dania Beach,P0112,1,9.26,2.0
S003954,2025-12-05,Dania Beach,P0207,1,8.62,0.0
S006464,2026-03-05,Dania Beach,P0071,1,14.0,0.0
S008649,2026-05-15,Dania Beach,P0028,1,22.61,0.0
S007147,2026-04-02,Dania Beach,P0157,1,8.43,0.0
S007806,2026-04-18,Dania Beach,P0161,1,43.05,2.0
S000321,7/13/2025,Dania Beach,P0102,1,16.27,0.0
S001400,2025-08-27,Lake Worth,P0250,3,26.07,0.0
S006926,2026-03-24,Oakland Park,P0137,1,34.89,0.0
S002082,2025-09-23,Dania Beach,P0188,2,14.19,0.0
S005866,2026-02-03,Oakland Park,P0100,1,34.67,
S002944,2025-10-27,Oakland Park,P0112,1,$9.26,0.0
S005057,12/28/2025,Dania Beach,P0253,1,12.31,0.0
S003441,2025-11-16,Dania Beach,P0285,1,24.04,0.0
S003266,2025-11-08,Oakland Park,P0229,1,15.22,0.0
S001734,2025-09-08,Oakland Park,P0167,1,11.11,0.0
S009359,6/12/2026,Oakland Park,P0076,2,28.11,0.0
S004340,2025-12-13,OAKLAND PARK,P0120,1,23.21,0.0
S002662,2025-10-16,Lake Worth,P0091,1,10.86,0.0
S000605,2025-07-26,Lake Worth,P0160,1,15.14,0.0
S001195,2025-08-19,Dania Beach,P0133,1,31.55,0.0
S004706,2025-12-21,Dania Beach,P0174,1,17.55,0.0
S000353,2025-07-14,Dania Beach,P0106,1,14.38,0.0
S002255,2025-09-30,Oakland Park,P0081,1,12.2,0.0
S004856,2025-12-25,Lake Worth,P0102,1,16.27,5.0
S002406,2025-10-05,Oakland Park,P0181,2,38.54,0.0
S009564,2026-06-20,Dania Beach,P0173,1,28.8,0.0
S007501,2026-04-11,Lake Worth,P0258,1,20.03,
S003492,2025-11-18,Oakland Park,P0233,1,$22.74,
S001319,2025-08-24,Lake Worth,P0035,1,25.13,0.0
S003747,2025-11-29,Dania Beach,P0181,2,38.54,0.0
S005815,2026-01-31,oakland park,P0250,1,26.07,0.0
S002112,9/24/2025,Dania Beach,P0258,1,20.03,0.0
S005648,2026-01-23,Dania Beach,P0017,1,13.63,0.0
S008853,2026-05-23,Dania Beach,P0229,1,15.22,0.0
S001923,2025-09-17,Dania Beach,P0260,1,16.34,0.0
S006619,2026-03-11,Dania Beach,P0293,1,17.47,0.0
S003471,2025-11-17,Lake Worth,P0140,1,17.16,0.0
S006071,2026-02-14,oakland park,P0201,3,37.27,0.0
S005144,2025-12-30,Dania Beach,P0079,1,38.19,0.0
S008193,2026-04-27,Oakland Park,P0004,1,33.33,0.0
S003736,2025-11-29,Oakland Park,P0041,1,11.22,0.0
S009744,2026-06-27,Oakland Park,P0063,2,32.31,0.0
S001092,2025-08-15,Dania Beach,P0181,1,38.54,0.0
S000166,2025-07-06,Oakland Park,P0028,1,$22.61,5.0
S001475,2025-08-30,Dania Beach,P0123,1,$32.28,2.0
S008871,5/23/2026,Lake Worth,P0077,1,38.06,0.0
S006058,2026-02-13,Dania Beach,P0258,1,20.03,5.0
S007946,2026-04-22,Lake Worth,P0225,1,30.83,0.0
S005741,2026-01-28,Oakland Park,P0188,1,14.19,2.0
S002050,2025-09-22,Dania Beach,P0153,1,24.73,0.0
S000991,2025-08-10,Dania Beach,P0024,1,12.01,2.0
S000584,2025-07-25,DANIA BEACH,P0122,1,15.39,0.0
S008012,2026-04-23,Dania Beach,P0120,2,23.21,0.0
S004223,2025-12-11,Lake Worth,P0170,1,12.29,0.0
S006582,2026-03-09,Oakland Park,P0249,1,24.88,0.0
S002089,2025-09-23,Lake Worth,P0255,1,34.26,0.0
S002096,2025-09-24,Lake Worth,P0082,1,11.34,0.0
S002593,2025-10-13,Lake Worth,P0209,1,38.73,0.0
S002420,2025-10-05,Oakland Park,P0112,1,9.26,0.0
S002621,2025-10-14,Oakland Park,P0050,1,16.14,0.0
S001057,2025-08-13,Dania Beach,P0258,1,20.03,0.0
S004422,2025-12-15,LAKE WORTH,P0116,1,38.74,0.0
S005855,2026-02-02,Dania Beach,P0120,1,23.21,0.0
S008322,2026-05-02,Lake Worth,P0023,1,36.9,0.0
S000003,2025-07-01,Dania Beach,P0034,1,17.39,0.0
S005487,2026-01-15,Oakland Park,P0258,1,20.03,2.0
S008546,2026-05-10,Lake Worth,P0181,1,38.54,0.0
S005163,12/30/2025,Oakland Park,P0147,1,40.67,0.0
S004597,2025-12-19,lake worth,P0100,1,34.67,0.0
S008521,2026-05-10,Oakland Park,P0060,1,16.29,0.0
S009738,2026-06-27,Dania Beach,P0057,1,31.85,0.0
S001330,2025-08-24,Lake Worth,P0141,1,18.03,0.0
S009207,2026-06-06,Lake Worth,P0050,1,16.14,0.0
S006493,3/6/2026,Lake Worth,P0065,1,22.31,0.0
S001961,2025-09-18,oakland park,P0067,1,22.05,0.0
S003621,11/23/2025,Dania Beach,P0058,1,6.59,0.0
S002409,2025-10-05,Lake Worth,P0252,1,18.54,0.0
S007077,3/30/2026,Lake Worth,P0229,1,15.22,5.0
S008775,5/20/2026,Oakland Park,P0067,1,22.05,0.0
S003347,11/12/2025,Oakland Park,P0082,2,11.34,0.0
S001691,2025-09-07,Oakland Park,P0102,1,16.27,2.0
S005318,2026-01-06,Dania Beach,P0218,1,12.89,0.0
S009257,2026-06-07,Oakland Park,P0109,1,19.26,
S002324,2025-10-02,Oakland Park,P0215,1,5.21,0.0
S000685,2025-07-29,Dania Beach,P0141,1,18.03,0.0
S001122,2025-08-16,Lake Worth,P0283,1,41.77,0.0
S007069,2026-03-30,Oakland Park,P0285,1,24.04,0.0
S005945,2026-02-07,DANIA BEACH,P0258,1,20.03,0.0
S003171,2025-11-04,Oakland Park,P0165,1,17.48,
S007283,2026-04-05,Dania Beach,P0258,1,20.03,0.0
S003660,2025-11-25,Dania Beach,P0120,1,23.21,
S002931,2025-10-26,Dania Beach,P0121,1,26.48,0.0
S005283,2026-01-04,Dania Beach,P0231,1,16.4,0.0
S004870,2025-12-25,Dania Beach,P0258,1,20.03,0.0
S004882,2025-12-25,Dania Beach,P0092,1,34.43,0.0
S004987,2025-12-27,Dania Beach,P0050,1,16.14,0.0
S006478,2026-03-05,Lake Worth,P0054,1,38.06,2.0
S003739,2025-11-29,Lake Worth,P0298,1,10.79,0.0
S008607,2026-05-13,Oakland Park,P0258,1,20.03,0.0
S001455,8/29/2025,Oakland Park,P0200,1,20.12,5.0
S006767,2026-03-17,Lake Worth,P0229,1,15.22,0.0
S003786,2025-11-30,Dania Beach,P0141,1,18.03,0.0
S005953,2026-02-07,Dania Beach,P0181,1,38.54,0.0
S005925,2026-02-06,Oakland Park,P0123,1,$32.28,0.0
S001443,2025-08-28,Oakland Park,P0194,1,$31.47,
S009477,2026-06-16,Oakland Park,P0161,1,43.05,0.0
S002833,2025-10-22,Lake Worth,P0054,1,38.06,0.0
S008234,2026-04-29,Dania Beach,P0266,1,28.75,0.0
S004989,12/27/2025,dania beach,P0236,1,32.91,0.0
S004042,12/7/2025,Oakland Park,P0250,1,26.07,
S007392,2026-04-08,Lake Worth,P0225,1,30.83,0.0
S004405,12/15/2025,Dania Beach,P0223,1,16.45,0.0
S000609,2025-07-26,Dania Beach,P0258,1,20.03,0.0
S000717,2025-07-30,Oakland Park,P0158,1,15.94,0.0
S005402,1/10/2026,Oakland Park,P0222,1,25.03,0.0
S003463,2025-11-16,Lake Worth,P0028,1,22.61,5.0
S006656,2026-03-13,Lake Worth,P0091,1,10.86,0.0
S009672,6/24/2026,Lake Worth,P0102,1,16.27,0.0
S003311,2025-11-10,Dania Beach,P0028,1,22.61,0.0
S000393,7/16/2025,Dania Beach,P0201,1,37.27,0.0
S004149,2025-12-09,Lake Worth,P0250,1,$26.07,0.0
S008200,2026-04-27,Oakland Park,P0250,1,26.07,0.0
S009296,2026-06-09,dania beach,P0112,1,9.26,5.0
S008946,2026-05-26,Oakland Park,P0258,1,20.03,
S004889,2025-12-25,Dania Beach,P0181,2,38.54,2.0
S000755,2025-07-31,Oakland Park,P0042,1,16.07,0.0
